 x    y    z    Ex    Ey    Ez
  -20.000000000000000       -6.0000000000000000       -12.000000000000000       -7.1851052023175286E-004  -2.1555309769891423E-004  -4.3110619539782845E-004
  -20.000000000000000       -6.0000000000000000       -10.000000000000000       -7.5686948190204092E-004  -2.2706083575235064E-004  -3.7843472625391777E-004
  -20.000000000000000       -6.0000000000000000       -8.0000000000000000       -7.9086583514359639E-004  -2.3725976681650743E-004  -3.1634635575534322E-004
  -20.000000000000000       -6.0000000000000000       -6.0000000000000000       -8.1910663411589727E-004  -2.4573198950292394E-004  -2.4573198950292394E-004
  -20.000000000000000       -6.0000000000000000       -4.0000000000000000       -8.4032450020579631E-004  -2.5209737724495398E-004  -1.6806491816330263E-004
  -20.000000000000000       -6.0000000000000000       -2.0000000000000000       -8.5349898503957373E-004  -2.5604973677298041E-004  -8.5349912257660145E-005
  -20.000000000000000       -6.0000000000000000        0.0000000000000000       -8.5796742753610359E-004  -2.5739031678678867E-004   0.0000000000000000     
  -20.000000000000000       -6.0000000000000000        2.0000000000000000       -8.5349898503957373E-004  -2.5604973677298041E-004   8.5349912257660145E-005
  -20.000000000000000       -6.0000000000000000        4.0000000000000000       -8.4032450020579631E-004  -2.5209737724495398E-004   1.6806491816330263E-004
  -20.000000000000000       -6.0000000000000000        6.0000000000000000       -8.1910663411589727E-004  -2.4573198950292394E-004   2.4573198950292394E-004
  -20.000000000000000       -6.0000000000000000        8.0000000000000000       -7.9086583514359639E-004  -2.3725976681650743E-004   3.1634635575534322E-004
  -20.000000000000000       -6.0000000000000000        10.000000000000000       -7.5686948190204092E-004  -2.2706083575235064E-004   3.7843472625391777E-004
  -20.000000000000000       -6.0000000000000000        12.000000000000000       -7.1851052023175286E-004  -2.1555309769891423E-004   4.3110619539782845E-004
  -20.000000000000000       -6.0000000000000000        14.000000000000000       -6.7719021378387237E-004  -2.0315701392810152E-004   4.7403303249890353E-004
  -20.000000000000000       -6.0000000000000000        16.000000000000000       -6.3422132046355340E-004  -1.9026645597850316E-004   5.0737721594267503E-004
  -20.000000000000000       -6.0000000000000000        18.000000000000000       -5.9075925089524430E-004  -1.7722777505430070E-004   5.3168332516290205E-004
  -20.000000000000000       -6.0000000000000000        20.000000000000000       -5.4776756595124171E-004  -1.6433021276072076E-004   5.4776737586906916E-004
  -20.000000000000000       -4.0000000000000000       -20.000000000000000       -5.5856368194910774E-004  -1.1171271563368174E-004  -5.5856357816840864E-004
  -20.000000000000000       -4.0000000000000000       -18.000000000000000       -6.0301425008326098E-004  -1.2060281388331802E-004  -5.4271266247493113E-004
  -20.000000000000000       -4.0000000000000000       -16.000000000000000       -6.4802723493432961E-004  -1.2960547208275077E-004  -5.1842188833100308E-004
  -20.000000000000000       -4.0000000000000000       -14.000000000000000       -6.9260319727649838E-004  -1.3852068597289870E-004  -4.8482240090514549E-004
  -20.000000000000000       -4.0000000000000000       -12.000000000000000       -7.3553523909756526E-004  -1.4710705024623759E-004  -4.4132115073871274E-004
  -20.000000000000000       -4.0000000000000000       -10.000000000000000       -7.7544789506357639E-004  -1.5508951845697068E-004  -3.8772379614242670E-004
